species,collection,item,asset,measure,value
Arielulus cuprosus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,74.66
Arielulus cuprosus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,86.24
Arielulus cuprosus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,59.37
Arielulus cuprosus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,6.606774064001549
Arielulus societatis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,81.82
Arielulus societatis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,81.82
Arielulus societatis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,81.82
Arielulus societatis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,81.82
Arielulus societatis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Arielulus torquatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,75.24696629213473
Arielulus torquatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,80.14
Arielulus torquatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,94.9
Arielulus torquatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,29.59
Arielulus torquatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,16.463272685858488
Ariteus flavescens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,82.11285714285712
Ariteus flavescens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,81.995
Ariteus flavescens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,83.77
Ariteus flavescens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,80.5
Ariteus flavescens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,0.8496208978733335
Artibeus aequatorialis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,89.84285714285714
Artibeus aequatorialis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,90.29
Artibeus aequatorialis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,94.32
Artibeus aequatorialis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,83.88
Artibeus aequatorialis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.799007389155371
Artibeus amplus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,71.29714285714284
Artibeus amplus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,71.66
Artibeus amplus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,73.11
Artibeus amplus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,66.99
Artibeus amplus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,1.2608316568733011
Artibeus concolor,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus concolor,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus concolor,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus concolor,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus concolor,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus fimbriatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus fimbriatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus fimbriatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus fimbriatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus fimbriatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus fraterculus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,64.13225806451612
Artibeus fraterculus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,64.66
Artibeus fraterculus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,74.38
Artibeus fraterculus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,53.04
Artibeus fraterculus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,6.88969893375969
Artibeus hirsutus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus hirsutus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus hirsutus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus hirsutus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus hirsutus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus inopinatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus inopinatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus inopinatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus inopinatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus inopinatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus jamaicensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,63.63647103658522
Artibeus jamaicensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,63.17
Artibeus jamaicensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,91.21
Artibeus jamaicensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,27.59
Artibeus jamaicensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,11.788803475517035
Artibeus lituratus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus lituratus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus lituratus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus lituratus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus lituratus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus obscurus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus obscurus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus obscurus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus obscurus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus obscurus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Artibeus planirostris,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,53.39626346153861
Artibeus planirostris,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,50.66
Artibeus planirostris,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,91.87
Artibeus planirostris,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,21.93
Artibeus planirostris,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,10.219094002267019
Artibeus schwartzi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Artibeus schwartzi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Artibeus schwartzi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Artibeus schwartzi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Artibeus schwartzi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Asellia italosomalica,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,82.38
Asellia italosomalica,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,82.38
Asellia italosomalica,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,82.38
Asellia italosomalica,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,82.38
Asellia italosomalica,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Asellia patrizii,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Asellia patrizii,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Asellia patrizii,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Asellia patrizii,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Asellia patrizii,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Asellia tridens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,80.32625
Asellia tridens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,80.455
Asellia tridens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,89.25
Asellia tridens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,69.08
Asellia tridens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,6.091169526096951
Aselliscus dongbacanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,20.595000000000002
Aselliscus dongbacanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,21.195
Aselliscus dongbacanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,26.6
Aselliscus dongbacanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,11.78
Aselliscus dongbacanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,4.878621731595923
Aselliscus stoliczkanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Aselliscus stoliczkanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Aselliscus stoliczkanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Aselliscus stoliczkanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Aselliscus stoliczkanus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Aselliscus tricuspidatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Aselliscus tricuspidatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Aselliscus tricuspidatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Aselliscus tricuspidatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Aselliscus tricuspidatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Austronomus australis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,73.82283846153854
Austronomus australis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,75.505
Austronomus australis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,95.29
Austronomus australis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,6.8
Austronomus australis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,13.72027404972461
Baeodon alleni,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,48.089999999999996
Baeodon alleni,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,47.945
Baeodon alleni,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,49.91
Baeodon alleni,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,46.56
Baeodon alleni,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,1.3934848402476403
Baeodon gracilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,71.59476747767177
Baeodon gracilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,72.52
Baeodon gracilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,99.35
Baeodon gracilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,0.74
Baeodon gracilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,18.82382375741195
Balantiopteryx infusca,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,75.11864238410594
Balantiopteryx infusca,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,80.315
Balantiopteryx infusca,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,99.02
Balantiopteryx infusca,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,24.74
Balantiopteryx infusca,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,19.61249692650796
Balantiopteryx io,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,54.26298364354201
Balantiopteryx io,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,52.64
Balantiopteryx io,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,99.02
Balantiopteryx io,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,0.52
Balantiopteryx io,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,19.60257651549905
Balantiopteryx plicata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,69.98735483870972
Balantiopteryx plicata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,73.37
Balantiopteryx plicata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,98.12
Balantiopteryx plicata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,10.69
Balantiopteryx plicata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,21.851012968230087
Balionycteris maculata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,68.46375
Balionycteris maculata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,65.83500000000001
Balionycteris maculata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,76.07
Balionycteris maculata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,61.92
Balionycteris maculata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,5.968900203794423
Balionycteris seimundi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,44.245
Balionycteris seimundi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,43.004999999999995
Balionycteris seimundi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,48.45
Balionycteris seimundi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,41.71
Balionycteris seimundi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.0357849067415823
Barbastella barbastellus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,56.753427160493864
Barbastella barbastellus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,57.28
Barbastella barbastellus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,93.46
Barbastella barbastellus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,7.43
Barbastella barbastellus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,17.22743132986029
Barbastella beijingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,54.932955536181375
Barbastella beijingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,60.39
Barbastella beijingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,77.62
Barbastella beijingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,6.07
Barbastella beijingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,17.178157375600076
Barbastella darjelingensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,67.21142857142857
